timestamp_script,receiver_node,sender_node,channel_index,rssi,rate,sig_mode,mcs,bandwidth,noise_floor,node_timestamp_us,csi_data_array
2025-04-10T00:28:54.205697,8,7,6,-24,12,0,0,0,-94,4500145050,"[0,0,1,15,0,14,0,15,1,13,1,14,1,13,1,13,2,12,2,13,3,11,4,11,4,11,4,12,5,12,4,12,4,13,4,12,4,12,4,13,3,13,3,13,1,13,2,12,2,12,2,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,11,0,11,0,12,0,12,0,13,-1,12,-1,13,-2,13,-1,12,-2,12,-1,12,-1,12,-1,12,-1,12,-2,12,-1,13,0,12,0,12,0,12,1,13,0,14,2,13,2,13,2,14,2,15]"
2025-04-10T00:28:54.205697,13,9,6,-21,12,0,0,0,-94,4500194229,"[0,0,1,-14,1,-15,1,-14,1,-14,0,-14,-1,-13,-1,-13,-1,-13,-2,-13,-2,-13,-2,-13,-2,-13,-3,-12,-3,-13,-4,-13,-4,-13,-4,-13,-3,-14,-4,-14,-3,-14,-2,-14,-2,-13,-1,-13,0,-13,1,-13,2,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-12,2,-12,2,-12,3,-11,3,-12,3,-12,4,-12,4,-12,4,-12,5,-12,6,-11,6,-11,5,-11,5,-11,4,-11,4,-12,3,-12,3,-13,2,-12,2,-13,1,-13,1,-14,1,-14,2,-14,2,-15,2,-15]"
2025-04-10T00:28:54.205697,0,9,6,-37,12,0,0,0,-96,4500341377,"[0,0,-3,-15,-3,-14,-3,-14,-4,-14,-4,-13,-4,-13,-5,-12,-5,-12,-5,-12,-5,-13,-5,-12,-5,-12,-6,-11,-6,-11,-7,-12,-7,-11,-7,-11,-7,-12,-7,-12,-7,-12,-7,-12,-6,-12,-4,-12,-3,-12,-3,-12,-3,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-14,-2,-14,-2,-13,-2,-13,-1,-14,0,-14,0,-15,0,-15,0,-15,2,-14,3,-14,3,-14,2,-13,2,-13,1,-13,0,-13,0,-13,-1,-14,-1,-13,-2,-13,-3,-14,-3,-14,-3,-15,-2,-14,-2,-15,-2,-15]"
2025-04-10T00:28:54.205697,2,9,6,-36,12,0,0,0,-95,4500359247,"[0,0,8,-12,8,-12,8,-11,8,-12,7,-11,6,-11,6,-12,5,-12,4,-12,5,-12,5,-11,4,-11,4,-11,3,-12,3,-13,3,-13,4,-12,4,-12,3,-13,4,-12,4,-13,4,-12,5,-11,6,-10,6,-10,6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-10,7,-11,7,-10,8,-10,8,-10,9,-10,9,-10,9,-10,10,-9,10,-8,10,-8,10,-8,10,-8,9,-8,9,-8,9,-9,8,-10,8,-10,8,-10,7,-11,7,-11,7,-12,8,-12,8,-12,9,-12,8,-12]"
2025-04-10T00:28:54.205697,4,9,6,-36,12,0,0,0,-94,4500349166,"[0,0,14,1,13,1,13,1,14,1,13,0,12,-1,12,-1,12,-1,11,-1,12,-1,12,-1,11,-2,11,-2,11,-3,11,-3,12,-3,11,-3,12,-2,12,-3,12,-2,12,-2,11,-2,11,-1,10,0,11,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12,1,12,1,12,2,13,2,13,3,13,3,13,3,12,4,12,5,12,6,11,5,11,5,11,4,12,3,12,3,12,3,12,2,13,1,13,1,13,0,14,1,14,2,14,2,14,1]"
2025-04-10T00:28:54.205697,12,9,6,-31,12,0,0,0,-95,4500292113,"[0,0,5,-14,5,-14,5,-13,5,-13,4,-13,3,-13,3,-13,2,-13,2,-13,2,-13,2,-12,1,-12,1,-12,0,-13,0,-13,0,-13,0,-13,0,-13,0,-13,0,-13,1,-13,1,-12,2,-12,3,-12,4,-11,4,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-12,5,-12,6,-12,6,-12,7,-12,8,-12,7,-12,8,-12,8,-12,9,-11,9,-10,9,-10,9,-10,9,-10,8,-10,8,-11,7,-11,7,-12,6,-12,5,-13,5,-13,5,-13,6,-14,6,-13,6,-14,6,-14]"
2025-04-10T00:28:54.205697,3,9,6,-39,12,0,0,0,-94,4500350701,"[0,0,-7,13,-7,12,-8,11,-8,12,-6,11,-6,12,-5,11,-4,11,-4,12,-4,12,-4,11,-4,11,-4,12,-3,12,-4,13,-2,13,-3,13,-4,13,-3,14,-4,13,-4,12,-4,12,-6,12,-7,11,-6,10,-7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,9,-5,9,-6,9,-7,8,-6,9,-8,9,-8,8,-8,10,-9,10,-9,8,-9,8,-10,8,-9,8,-10,8,-8,9,-8,9,-8,9,-7,10,-8,10,-7,10,-7,12,-5,12,-7,12,-8,12,-8,13,-7,12]"
2025-04-10T00:28:54.205697,14,9,6,-35,12,0,0,0,-94,4500313452,"[0,0,-1,-15,-1,-14,-1,-14,0,-14,-1,-14,-2,-13,-3,-13,-3,-13,-3,-12,-3,-13,-3,-12,-4,-12,-4,-11,-4,-11,-5,-12,-5,-11,-5,-12,-5,-12,-5,-12,-5,-12,-4,-12,-4,-12,-2,-12,-2,-12,-1,-11,-1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-12,0,-12,0,-12,0,-12,1,-12,1,-13,1,-13,2,-13,2,-13,3,-13,4,-12,3,-12,3,-13,3,-12,2,-12,2,-12,2,-12,1,-13,0,-12,0,-12,-1,-13,-2,-14,-1,-14,0,-14,0,-14,-1,-13]"
2025-04-10T00:28:54.205697,15,9,6,-61,12,0,0,0,-98,4500329253,"[0,0,3,-15,3,-15,3,-15,3,-15,3,-15,1,-14,1,-14,0,-14,0,-14,1,-14,1,-14,0,-14,0,-14,-1,-14,-1,-14,-1,-15,-1,-15,-1,-15,-1,-15,0,-15,0,-15,1,-14,2,-14,3,-13,4,-13,4,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-11,3,-11,3,-10,3,-10,4,-10,5,-11,5,-11,5,-11,5,-11,6,-11,7,-10,7,-10,6,-10,6,-10,5,-10,5,-11,5,-12,4,-12,4,-12,3,-12,3,-13,2,-14,3,-14,3,-14,4,-14,4,-15]"
2025-04-10T00:28:54.205697,2,9,6,-36,12,0,0,0,-95,4500359247,"[0,0,8,-12,8,-12,8,-11,8,-12,7,-11,6,-11,6,-12,5,-12,4,-12,5,-12,5,-11,4,-11,4,-11,3,-12,3,-13,3,-13,4,-12,4,-12,3,-13,4,-12,4,-13,4,-12,5,-11,6,-10,6,-10,6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-10,7,-11,7,-10,8,-10,8,-10,9,-10,9,-10,9,-10,10,-9,10,-8,10,-8,10,-8,10,-8,9,-8,9,-8,9,-9,8,-10,8,-10,8,-10,7,-11,7,-11,7,-12,8,-12,8,-12,9,-12,8,-12]"
